volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,RowNum
342040,Almolonga,Stratovolcano,1818,Guatemala,México and Central America,Guatemala,14.797,-91.519,3173,20
300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.656,159.647,2570,21
221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,22
221270,Alutu,Stratovolcano,-50,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,23
311390,Amak,Stratovolcano,1796,United States,Alaska,Aleutian Islands,55.424,-163.149,488,24
257030,Ambae,Shield,2018,Vanuatu,Melanesia and Australia,Vanuatu,-15.389,167.835,1496,25
266020,Ambang,Complex,2005,Indonesia,Indonesia,Sulawesi,0.75,124.42,1795,26
254020,Ambitle,Stratovolcano,-350,Papua New Guinea,Melanesia and Australia,New Ireland,-4.08,153.65,450,27
257040,Ambrym,Pyroclastic shield,2018,Vanuatu,Melanesia and Australia,Vanuatu,-16.25,168.12,1334,28
311190,Amukta,Stratovolcano,1997,United States,Alaska,Aleutian Islands,52.5,-171.252,1066,29
284200,Anatahan,Stratovolcano,2008,United States,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,16.35,145.67,790,30
354004,Andahua-Orcopampa,Pyroclastic cone(s),1490,Peru,South America,Peru,-15.42,-72.33,4713,31
312090,Aniakchak,Caldera,1931,United States,Alaska,Alaska Peninsula,56.88,-158.17,1341,32
357153,Antillanca Volcanic Complex,Stratovolcano(es),-230,Chile,South America,Central Chile and Argentina,-40.783,-72.15,1979,33
352030,Antisana,Stratovolcano,1802,Ecuador,South America,Ecuador,-0.481,-78.141,5753,34
357080,Antuco,Stratovolcano,1869,Chile,South America,Central Chile and Argentina,-37.406,-71.349,2979,35
284060,Aogashima,Stratovolcano,1785,Japan,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,32.458,139.759,423,36
358024,Apagado,Pyroclastic cone,-590,Chile,South America,Southern Chile and Argentina,-41.88,-72.58,1210,37
344091,Apoyeque,Pyroclastic shield,-50,Nicaragua,México and Central America,Nicaragua,12.242,-86.342,518,38
213040,Ararat,Stratovolcano,1840,Turkey,Mediterranean and Western Asia,Turkey,39.7,44.3,5165,39
221126,Ardoukoba,Fissure vent(s),1978,Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,11.58,42.47,298,40
345033,Arenal,Stratovolcano,2010,Costa Rica,México and Central America,Costa Rica,10.463,-84.703,1670,41
231090,Arhab/ Harra of,Volcanic field,500,Yemen,Middle East and Indian Ocean,Middle East (southern),15.63,44.08,3100,42
263290,Arjuno-Welirang,Stratovolcano,1952,Indonesia,Indonesia,Java,-7.733,112.575,3339,43
305011,Arxan-Chaihe,Pyroclastic cone(s),0,China,Kamchatka and Mainland Asia,China (eastern),47.45,120.8,1677,44
283110,Asamayama,Complex,2019,Japan,Japan/ Taiwan/ Marianas,Honshu,36.406,138.523,2568,45
385050,Ascension,Stratovolcano,1508,United Kingdom,Atlantic Ocean,Atlantic Ocean (central),-7.95,-14.37,858,46
373060,Askja,Stratovolcano,1961,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),65.033,-16.783,1080,47
282110,Asosan,Caldera,2020,Japan,Japan/ Taiwan/ Marianas,Ryukyu Islands and Kyushu,32.884,131.104,1592,48
284150,Asuncion,Stratovolcano,1906,United States,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,19.671,145.406,857,49
282070,Ata,Caldera(s),885,Japan,Japan/ Taiwan/ Marianas,Ryukyu Islands and Kyushu,31.22,130.57,924,50
352021,Atacazo,Stratovolcano,-320,Ecuador,South America,Ecuador,-0.353,-78.617,4463,51
311160,Atka,Stratovolcano(es),1812,United States,Alaska,Aleutian Islands,52.331,-174.139,1448,52
241020,Auckland Volcanic Field,Volcanic field,1350,New Zealand,New Zealand to Fiji,New Zealand,-36.9,174.87,260,53
313010,Augustine,Lava dome(s),2006,United States,Alaska,Alaska (southwestern),59.363,-153.43,1252,54
300100,Avachinsky,Stratovolcano,2001,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.256,158.836,2717,55
331021,Axial Seamount,Submarine,2015,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),45.95,-130.0,-1410,56
353060,Azul/ Cerro,Shield,2008,Ecuador,South America,Galapagos Islands,-0.92,-91.408,1640,57
357060,Azul/ Cerro,Stratovolcano,1967,Chile,South America,Central Chile and Argentina,-35.653,-70.761,3788,58
283180,Azumayama,Stratovolcano(es),1977,Japan,Japan/ Taiwan/ Marianas,Honshu,37.735,140.244,1949,59
274030,Babuyan Claro,Stratovolcano(es),1924,Philippines,Philippines and SE Asia,North of Luzon,19.523,121.94,1080,60
322090,Bachelor,Stratovolcano,-5800,United States,Canada and Western USA,USA (Oregon),43.979,-121.688,2763,61
255020,Bagana,Lava cone,2020,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,-6.137,155.196,1855,62
300123,Bakening,Stratovolcano,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.905,158.07,2278,63
321010,Baker,Stratovolcano(es),1880,United States,Canada and Western USA,USA (Washington),48.777,-121.813,3285,64
265090,Banda Api,Caldera,1988,Indonesia,Indonesia,Banda Sea,-4.523,129.881,596,65
283160,Bandaisan,Stratovolcano,1888,Japan,Japan/ Taiwan/ Marianas,Honshu,37.601,140.072,1816,66
341020,Barcena,Pyroclastic cone(s),1953,Mexico,México and Central America,Mexico,19.3,-110.82,332,67
373030,Bardarbunga,Stratovolcano,2015,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),64.633,-17.516,2000,68
300084,Barkhatnaya Sopka,Lava dome(s),-3550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.802,158.24,874,69
222030,Barrier/ The,Shield,1921,Kenya,Africa and Red Sea,Africa (eastern),2.32,36.57,1032,70
345050,Barva,Complex,-6050,Costa Rica,México and Central America,Costa Rica,10.135,-84.1,2906,71
264010,Batur,Caldera,2000,Indonesia,Indonesia,Lesser Sunda Islands,-8.242,115.375,1717,72
225060,Bayuda Volcanic Field,Pyroclastic cone(s),850,Sudan,Africa and Red Sea,Africa (northern),18.33,32.75,670,73
322060,Belknap,Shield(s),480,United States,Canada and Western USA,USA (Oregon),44.285,-121.841,2095,74
390022,Berlin,Shield(s),-8350,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-76.05,-136.0,3478,75
300250,Bezymianny,Stratovolcano,2020,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.972,160.595,2882,76
272080,Biliran,Compound,1939,Philippines,Philippines and SE Asia,Central Philippines,11.523,124.535,1301,77
255011,Billy Mitchell,Pyroclastic shield,1580,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,-6.092,155.225,1544,78
324010,Black Butte Crater Lava Field,Shield,-8400,United States,Canada and Western USA,USA (Idaho),43.183,-114.352,1478,79
327050,Black Rock Desert,Volcanic field,1290,United States,Canada and Western USA,USA (Utah),38.97,-112.5,1800,80
355210,Blanco/ Cerro,Caldera,-2300,Argentina,South America,Northern Chile/ Bolivia and Argentina,-26.789,-67.765,4670,81
311300,Bogoslof,Submarine,2017,United States,Alaska,Aleutian Islands,53.93,-168.03,150,82
300150,Bolshoi Semiachik,Stratovolcano(es),-4450,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.32,160.02,1720,83
300360,Bolshoi-Kekuknaysky,Shield(s),-5310,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.483,157.917,1401,84
386020,Bouvet,Shield,-50,Norway,Atlantic Ocean,Atlantic Ocean (southern),-54.408,3.351,741,85
351012,Bravo/ Cerro,Stratovolcano,1720,Colombia,South America,Colombia,5.091,-75.293,3985,86
371040,Brennisteinsfjoll,Crater rows,1341,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),63.933,-21.783,610,87
390080,Bristol Island,Stratovolcano,2016,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-59.017,-26.533,1100,88
390010,Buckle Island,Stratovolcano,1899,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-66.78,163.25,1239,89
273010,Bulusan,Stratovolcano(es),2017,Philippines,Philippines and SE Asia,Luzon,12.769,124.056,1535,90
272050,Cabalían,Stratovolcano,1820,Philippines,Philippines and SE Asia,Central Philippines,10.285,125.218,912,91
357112,Caburgua-Huelemolle,Pyroclastic cone(s),-5050,Chile,South America,Central Chile and Argentina,-39.25,-71.75,1652,92
273090,Cagua,Stratovolcano,1860,Philippines,Philippines and SE Asia,Luzon,18.222,122.123,1133,93
210040,Calatrava Volcanic Field,Pyroclastic cone(s),-3600,Spain,Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,94
358020,Calbuco,Stratovolcano,2015,Chile,South America,Southern Chile and Argentina,-41.33,-72.618,1974,95
357091,Callaqui,Stratovolcano,1980,Chile,South America,Central Chile and Argentina,-37.92,-71.45,3164,96
224010,Cameroon,Stratovolcano,2000,Cameroon,Africa and Red Sea,Africa (western),4.203,9.17,4095,97
271080,Camiguin,Stratovolcano(es),1953,Philippines,Philippines and SE Asia,Mindanao,9.203,124.673,1552,98
274010,Camiguin de Babuyanes,Stratovolcano,1857,Philippines,Philippines and SE Asia,North of Luzon,18.83,121.86,712,99
211010,Campi Flegrei,Caldera,1538,Italy,Mediterranean and Western Asia,Italy,40.827,14.139,458,100
211070,Campi Flegrei del Mar di Sicilia,Submarine,1867,Italy,Mediterranean and Western Asia,Italy,37.1,12.7,-8,101
390100,Candlemas Island,Stratovolcano,1911,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-57.08,-26.67,550,102
357140,Carran-Los Venados,Pyroclastic cone(s),1979,Chile,South America,Central Chile and Argentina,-40.35,-72.07,1114,103
327110,Carrizozo,Pyroclastic cone(s),-3250,United States,Canada and Western USA,USA (New Mexico),33.78,-105.93,1731,104
352006,Cayambe,Compound,1786,Ecuador,South America,Ecuador,0.029,-77.986,5790,105
358012,Cayutue-La Vigueria,Pyroclastic cone(s),-190,Chile,South America,Southern Chile and Argentina,-41.25,-72.27,506,106
341030,Ceboruco,Stratovolcano,1875,Mexico,México and Central America,Mexico,21.125,-104.508,2280,107
263170,Cereme,Stratovolcano,1951,Indonesia,Indonesia,Java,-6.895,108.408,3039,108
352022,Chacana,Caldera,1773,Ecuador,South America,Ecuador,-0.375,-78.25,4643,109
290030,Chachadake [Tiatia],Stratovolcano,1981,Japan - administered by Russia,Kuril Islands,Kuril Islands,44.353,146.252,1822,110
352002,Chachimbiro,Stratovolcano,-3740,Ecuador,South America,Ecuador,0.468,-78.287,4106,111
210020,Chaine des Puys,Lava dome(s),-4040,France,Mediterranean and Western Asia,Western Europe,45.775,2.97,1464,112
305060,Changbaishan,Stratovolcano,1903,China-North Korea,Kamchatka and Mainland Asia,China (eastern),41.98,128.08,2744,113
300273,Cherpuk Group,Pyroclastic cone(s),-4550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.55,157.47,1868,114
341080,Chichinautzin,Volcanic field,400,Mexico,México and Central America,Mexico,19.08,-99.13,3930,115
341120,Chichon/ El,Lava dome(s),1982,Mexico,México and Central America,Mexico,17.36,-93.228,1150,116
312110,Chiginagak,Stratovolcano,1998,United States,Alaska,Alaska Peninsula,57.135,-156.99,2221,117
290360,Chikurachki,Stratovolcano(es),2016,Russia,Kuril Islands,Kuril Islands,50.324,155.461,1781,118
351110,Chiles-Cerro Negro,Stratovolcano,1936,Colombia-Ecuador,South America,Colombia,0.817,-77.938,4698,119
357070,Chillan/ Nevados de,Stratovolcano,2020,Chile,South America,Central Chile and Argentina,-36.868,-71.378,3180,120
290090,Chirippusan [Chirip],Stratovolcano(es),1860,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.338,147.92,1587,121
290150,Chirpoi,Caldera,2016,Russia,Kuril Islands,Kuril Islands,46.532,150.871,742,122
283220,Chokaisan,Stratovolcano(es),1974,Japan,Japan/ Taiwan/ Marianas,Honshu,39.099,140.049,2236,123
222130,Chyulu Hills,Volcanic field,1855,Kenya,Africa and Red Sea,Africa (eastern),-2.68,37.88,2188,124
331030,Cleft Segment,Submarine,1986,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),44.83,-130.3,-2140,125
331020,CoAxial Segment,Submarine,1993,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),46.52,-129.58,-2400,126
341096,Cofre de Perote,Shield(s),1150,Mexico,México and Central America,Mexico,19.492,-97.15,4282,127
341040,Colima,Stratovolcano(es),2019,Mexico,México and Central America,Mexico,19.514,-103.62,3850,128
344120,Concepcion,Stratovolcano,2011,Nicaragua,México and Central America,Nicaragua,11.538,-85.622,1700,129
357090,Copahue,Stratovolcano,2019,Chile-Argentina,South America,Central Chile and Argentina,-37.856,-71.183,2953,130
344010,Cosiguina,Stratovolcano,1859,Nicaragua,México and Central America,Nicaragua,12.98,-87.57,872,131
352050,Cotopaxi,Stratovolcano,2016,Ecuador,South America,Ecuador,-0.677,-78.436,5911,132
322160,Crater Lake,Caldera,-2850,United States,Canada and Western USA,USA (Oregon),42.93,-122.12,2487,133
324020,Craters of the Moon,Pyroclastic cone(s),-130,United States,Canada and Western USA,USA (Idaho),43.42,-113.5,2005,134
352003,Cuicocha,Caldera,650,Ecuador,South America,Ecuador,0.308,-78.364,3246,135
351100,Cumbal,Stratovolcano,1926,Colombia,South America,Colombia,0.95,-77.87,4764,136
341098,Cumbres/  Las,Stratovolcano,-3920,Mexico,México and Central America,Mexico,19.15,-97.27,3940,137
221113,Dabbahu,Stratovolcano,2005,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.595,40.48,1401,138
252040,Dakataua,Caldera,1895,Papua New Guinea,Melanesia and Australia,New Britain,-5.094,150.094,408,139
